linear_estimate,date
.43936947,18jul2010
.4185223,19jul2010
.39172441,20jul2010
.42001158,21jul2010
.31376687,22jul2010
.32898441,23jul2010
.29958811,24jul2010
.28085551,25jul2010
.31480426,26jul2010
.33335012,27jul2010
.33884519,28jul2010
.40665174,29jul2010
.38043603,30jul2010
.39131323,31jul2010
.40245846,01aug2010
.41387677,02aug2010
.42557347,03aug2010
.43755385,04aug2010
.44982323,05aug2010
.46238703,06aug2010
.47525066,07aug2010
.48841977,08aug2010
.50189972,09aug2010
.51569635,10aug2010
.52981508,11aug2010
.54426181,12aug2010
.55904227,13aug2010
.57416213,14aug2010
.58962744,15aug2010
.60544395,16aug2010
.62161756,17aug2010
.63815427,18aug2010
.65506005,19aug2010
.67234105,20aug2010
.6900031,21aug2010
.70805269,22aug2010
.72649562,23aug2010
.7453382,24aug2010
.76458663,25aug2010
.78424716,26aug2010
.80432606,27aug2010
.82482934,28aug2010
.84576327,29aug2010
.86713451,30aug2010
.88894928,31aug2010
.91121352,01sep2010
.93393415,02sep2010
.95711696,03sep2010
.98076838,04sep2010
1.0048952,05sep2010
1.0295035,06sep2010
1.0545993,07sep2010
1.0801892,08sep2010
1.1062796,09sep2010
1.1328768,10sep2010
1.1599869,11sep2010
1.1876163,12sep2010
1.2157708,13sep2010
1.2444572,14sep2010
1.2736816,15sep2010
1.3034502,16sep2010
1.3337684,17sep2010
1.3646433,18sep2010
1.3960803,19sep2010
1.4280856,20sep2010
1.460665,21sep2010
1.4938246,22sep2010
1.5275702,23sep2010
1.5619073,24sep2010
1.5968417,25sep2010
1.6323793,26sep2010
1.668525,27sep2010
1.7052851,28sep2010
1.7426643,29sep2010
1.7806686,30sep2010
1.8193024,01oct2010
1.8585718,02oct2010
1.8984811,03oct2010
1.9390353,04oct2010
1.9802396,05oct2010
2.0220988,06oct2010
2.0646167,07oct2010
2.1077983,08oct2010
2.1516488,09oct2010
2.1961708,10oct2010
2.2413695,11oct2010
2.2872484,12oct2010
2.3338115,13oct2010
2.381063,14oct2010
2.4290059,15oct2010
2.4776435,16oct2010
2.5269794,17oct2010
2.5770164,18oct2010
2.6277573,19oct2010
2.6792059,20oct2010
2.7313631,21oct2010
2.7842321,22oct2010
2.8378158,23oct2010
2.8921156,24oct2010
2.9471333,25oct2010
3.0028708,26oct2010
3.0593288,27oct2010
3.1165102,28oct2010
3.1744142,29oct2010
3.233043,30oct2010
3.2923968,31oct2010
3.3524764,01nov2010
3.4132807,02nov2010
3.4748111,03nov2010
3.537066,04nov2010
3.6000469,05nov2010
3.6637516,06nov2010
3.7281792,07nov2010
3.7933292,08nov2010
3.8591995,09nov2010
3.9257889,10nov2010
3.9930956,11nov2010
4.0611167,12nov2010
4.1298513,13nov2010
4.1992946,14nov2010
4.2694454,15nov2010
4.3402996,16nov2010
4.4118547,17nov2010
4.4841056,18nov2010
4.5570493,19nov2010
4.630682,20nov2010
